directory,filename,format,size (MB)
F:\Identificação Vacas\Cow Database\imagens\47,263.jpeg,.jpeg,0.49801158905029297
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2382262.jpg,.jpg,0.17899608612060547
F:\Backup\Datasets\Downloads\VG100\VG_100K,2353089.jpg,.jpg,0.1093149185180664
F:\Backup\Datasets\Downloads\VG100\VG_100K,2348557.jpg,.jpg,0.14760494232177734
F:\Backup\Datasets\Downloads\VG100\VG_100K,1592615.jpg,.jpg,0.37376880645751953
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,3795.jpg,.jpg,0.10544204711914062
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2390482.jpg,.jpg,0.13815784454345703
F:\Backup\Datasets\Downloads\VG100\VG_100K,1593080.jpg,.jpg,0.32935333251953125
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2390318.jpg,.jpg,0.17154979705810547
F:\Backup\Datasets\Downloads\VG100\VG_100K,2371053.jpg,.jpg,0.14257240295410156
F:\Backup\Datasets\Downloads\VG100\VG_100K,2337341.jpg,.jpg,0.14377307891845703
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2394081.jpg,.jpg,0.16600513458251953
F:\Iniciação Científica\Detecções de objetos\TM - Libras\Tensorflow\workspace\images\Antigos\train-backup,voce - 5 - b.jpg,.jpg,0.14887523651123047
F:\Backup\Datasets\Downloads\VG100\VG_100K,2316005.jpg,.jpg,0.1495962142944336
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2408491.jpg,.jpg,0.21947097778320312
F:\Iniciação Científica\Detecções de objetos\TM - Libras\Tensorflow\workspace\images\situações\situação 1,f3.jfif,.jfif,0.49832820892333984
F:\Identificação Vacas\Cow Database\imagens\56,1218.jpeg,.jpeg,0.48009300231933594
F:\Backup\Datasets\Downloads\VG100\VG_100K,2349499.jpg,.jpg,0.19183826446533203
F:\Backup\Datasets\Downloads\VG100\VG_100K,2326456.jpg,.jpg,0.1117095947265625
F:\Backup\Datasets\Downloads\VG100\VG_100K,2323969.jpg,.jpg,0.12898921966552734
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2408861.jpg,.jpg,0.15077781677246094
F:\Identificação Vacas\Cow Database\imagens\51,1591.jpeg,.jpeg,0.4631338119506836
F:\Backup\Datasets\Downloads\VG100\VG_100K,2360337.jpg,.jpg,0.14319610595703125
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2390299.jpg,.jpg,0.14072704315185547
F:\Backup\Datasets\Downloads\VG100\VG_100K,2370495.jpg,.jpg,0.1385059356689453
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2415841.jpg,.jpg,0.15932464599609375
F:\Backup\Datasets\Downloads\VG100\VG_100K,2366391.jpg,.jpg,0.1398162841796875
F:\Identificação Vacas\Cow Database\imagens\03,1123.jpeg,.jpeg,0.4786567687988281
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2387607.jpg,.jpg,0.16138458251953125
F:\Backup\Datasets\Downloads\VG100\VG_100K,2352134.jpg,.jpg,0.13457679748535156
F:\Backup\Datasets\Cow Calf Pictures _ Download Free Images on\vacas\Vaca,photo-1543286671-2825793d335d.jpg,.jpg,8.771307945251465
F:\Backup\Datasets\Downloads\VG100\VG_100K,1591779.jpg,.jpg,0.21556854248046875
F:\Backup\Datasets\Downloads\VG100\VG_100K,2326235.jpg,.jpg,0.1388111114501953
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2415560.jpg,.jpg,0.1165781021118164
